Is this in New Orleans?? I really feel like this is New Orleans.	27	edgurhb	1
You know the answer man, you are programmed to capture those codes they send you, don’t avoid them!	4,27	ee84bjg	1
I've never been this sad in my life!	25	edcu99z	1
The economy is heavily controlled and subsidized by the government. In any case, I was poking at the lack of nuance in US politics today	4,27	edc32e2	1
He could have easily taken a real camera from a legitimate source and change the price in Word/Photoshop and then print it out.	20	eepig6r	1
Thank you for your vote of confidence, but we statistically can't get to 10 wins.	15	eczm50f	1
Wah Mum other people call me on my bullshit and I can't ban them , Go out side son.	2	ed4yr9r	1
There it is!	27	ede4v0m	1
At least now [NAME] has more time to gain his confidence	20	eekez9p	1
Good. We don't want more thrash liberal offspring in this world.	10	ee0fxpu	1
Is this in New Orleans?? I really feel like this is New Orleans.	27	edgurhb	1
You know the answer man, you are programmed to capture those codes they send you, don’t avoid them!	4,27	ee84bjg	2
I've never been this sad in my life!	25	edcu99z	3
The economy is heavily controlled and subsidized by the government. In any case, I was poking at the lack of nuance in US politics today	4,27	edc32e2	1
He could have easily taken a real camera from a legitimate source and change the price in Word/Photoshop and then print it out.	20	eepig6r	2
Thank you for your vote of confidence, but we statistically can't get to 10 wins.	15	eczm50f	3
Wah Mum other people call me on my bullshit and I can't ban them , Go out side son.	2	ed4yr9r	1
There it is!	27	ede4v0m	1
At least now [NAME] has more time to gain his confidence	20	eekez9p	1
Good. We don't want more thrash liberal offspring in this world.	10	ee0fxpu	1
