It's a shame you're sticking up for a dictator who orders the beating and shooting of protesters in the street.	2,3	ef0q6gd	3
I'm getting worried	19	ed6q46k	2
I don't about bringing it into the country but CBD is everywhere here	27	ef6xolo	0
WE ARE .500!!!! I'VE WAITED SO LONG!!!!	13	ee8z31v	0
Not even going to open the link. Already know I agree with Sloss.	4	edeh53r	1
Half the cars I see in Florida seem to be allowed to drive at night without any lights. I don't get how they get away with it.	6,27	edmwzj3	1
Hard Candy. You're welcome.	15	eercojg	0
Wow. She didn't get it at all. Very entitled parent	13,26	ef5ysz1	3
Even if no sickness is spread, no one else wants to see or smell that while they are eating. 	27	ed426c9	0
"[NAME] tweet directly contradicts this... Edit: [NAME] said that ""[NAME] didn't make this deal by himself"". The organization chose [NAME]."	27	eeryuob	1
